"qsMatchWeight","qsMatchPassNumber","qsMatchStatType","qsMatchStatValue"
"5.0000000E+00","0","0","5"
"0.0000000E+00","1","0","2"
"2.5000000E+00","1","1","5"
"0.0000000E+00","1","2","7"
"1.7142857E+00","1","3","12"
"0.0000000E+00","1","4","2"
"0.0000000E+00","1","5","10"
"1.5000000E+00","1","6","15"
"0.0000000E+00","1","7","15"
"0.0000000E+00","1","8","0"
"0.0000000E+00","1","9","2"
"0.0000000E+00","1","10","5"
"0.0000000E+00","1","11","0"
"0.0000000E+00","1","12","0"
"0.0000000E+00","1","13","3"
"0.0000000E+00","1","14","5"
"0.0000000E+00","1","15","15"
"1.1000000E+01","1","254","4"
"1.1500000E+01","1","254","1"
