"qsMatchWeight","qsMatchPassNumber","qsMatchStatType","qsMatchStatValue"
"0.0000000E+00","1","0","2"
"3.0000000E+00","1","1","6"
"0.0000000E+00","1","2","6"
"1.0000000E+00","1","3","6"
"0.0000000E+00","1","4","1"
"0.0000000E+00","1","5","6"
"1.0000000E+00","1","6","6"
"0.0000000E+00","1","7","8"
"0.0000000E+00","1","8","0"
"0.0000000E+00","1","9","1"
"0.0000000E+00","1","10","6"
"0.0000000E+00","1","11","3"
"0.0000000E+00","1","12","0"
"0.0000000E+00","1","13","0"
"0.0000000E+00","1","14","0"
"0.0000000E+00","1","15","2"
"0.0000000E+00","1","16","10"
"0.0000000E+00","1","17","1"
"0.0000000E+00","1","18","0"
"0.0000000E+00","1","19","0"
"0.0000000E+00","1","20","4"
"1.0000000E+00","1","21","6"
"1.1500000E+01","1","254","2"
"1.2000000E+01","1","254","4"
