"qsFreqValue","qsFreqCounts","qsFreqColumnID","qsFreqHeaderFlag"
"_qsC_MatchPrimerNombre_MXNAME","0000000000 0000000000 0000000000 0000000010 0000000000 0000000000 0000000015 ","1","0"
"ANA","0000000002 0000000000 0000000000 ","1","1"
"CARLOS","0000000001 0000000000 0000000000 ","1","1"
"FERNANDO","0000000001 0000000000 0000000000 ","1","1"
"JOSE","0000000002 0000000000 0000000000 ","1","1"
"JUAN","0000000002 0000000000 0000000000 ","1","1"
"LAURA","0000000001 0000000000 0000000000 ","1","1"
"MARIA","0000000002 0000000000 0000000000 ","1","1"
"PATRICIA","0000000001 0000000000 0000000000 ","1","1"
"ROBERTO","0000000001 0000000000 0000000000 ","1","1"
"SOFIA","0000000002 0000000000 0000000000 ","1","1"
"_qsN_MatchPrimerNombre_MXNAME","0000000000 0000000000 0000000000 0000000001 0000000000 0000000000 0000000015 ","2","0"
"0.0e+000","0000000015 0000000000 0000000000 ","2","1"
"_qsM_MatchPrimerNombre_MXNAME","0000000000 0000000000 0000000000 0000000010 0000000000 0000000000 0000000015 ","4","0"
"ANA","0000000002 0000000000 0000000000 ","4","1"
"CARLOS","0000000001 0000000000 0000000000 ","4","1"
"FERNANDO","0000000001 0000000000 0000000000 ","4","1"
"JOSE","0000000002 0000000000 0000000000 ","4","1"
"JUAN","0000000002 0000000000 0000000000 ","4","1"
"LAURA","0000000001 0000000000 0000000000 ","4","1"
"MARIA","0000000002 0000000000 0000000000 ","4","1"
"PATRICIA","0000000001 0000000000 0000000000 ","4","1"
"ROBERTO","0000000001 0000000000 0000000000 ","4","1"
"SOFIA","0000000002 0000000000 0000000000 ","4","1"
"_qsC_MatchApellido_MXNAME","0000000000 0000000000 0000000000 0000000012 0000000000 0000000000 0000000015 ","5","0"
"CASTILLO","0000000001 0000000000 0000000000 ","5","1"
"CASTILLO M","0000000001 0000000000 0000000000 ","5","1"
"DIAZ MARTINEZ","0000000001 0000000000 0000000000 ","5","1"
"GONZALEZ","0000000001 0000000000 0000000000 ","5","1"
"HERNANDEZ","0000000002 0000000000 0000000000 ","5","1"
"LOPEZ","0000000001 0000000000 0000000000 ","5","1"
"LOPEZ R","0000000001 0000000000 0000000000 ","5","1"
"ORTIZ","0000000001 0000000000 0000000000 ","5","1"
"PEREZ GOMEZ","0000000002 0000000000 0000000000 ","5","1"
"RAMIREZ CRUZ","0000000001 0000000000 0000000000 ","5","1"
"SANCHEZ","0000000001 0000000000 0000000000 ","5","1"
"TORRES","0000000002 0000000000 0000000000 ","5","1"
"_qsN_MatchApellido_MXNAME","0000000000 0000000000 0000000000 0000000001 0000000000 0000000000 0000000015 ","6","0"
"0.0e+000","0000000015 0000000000 0000000000 ","6","1"
"_qsM_MatchApellido_MXNAME","0000000000 0000000000 0000000000 0000000015 0000000000 0000000000 0000000021 ","8","0"
"CASTILLO","0000000002 0000000000 0000000000 ","8","1"
"CRUZ","0000000001 0000000000 0000000000 ","8","1"
"DIAZ","0000000001 0000000000 0000000000 ","8","1"
"GOMEZ","0000000002 0000000000 0000000000 ","8","1"
"GONZALEZ","0000000001 0000000000 0000000000 ","8","1"
"HERNANDEZ","0000000002 0000000000 0000000000 ","8","1"
"LOPEZ","0000000002 0000000000 0000000000 ","8","1"
"M","0000000001 0000000000 0000000000 ","8","1"
"MARTINEZ","0000000001 0000000000 0000000000 ","8","1"
"ORTIZ","0000000001 0000000000 0000000000 ","8","1"
"PEREZ","0000000002 0000000000 0000000000 ","8","1"
"R","0000000001 0000000000 0000000000 ","8","1"
"RAMIREZ","0000000001 0000000000 0000000000 ","8","1"
"SANCHEZ","0000000001 0000000000 0000000000 ","8","1"
"TORRES","0000000002 0000000000 0000000000 ","8","1"
"_qsC_MatchNombreCalle_MXADDR","0000000000 0000000000 0000000000 0000000010 0000000000 0000000000 0000000015 ","9","0"
"5 MAYO","0000000001 0000000000 0000000000 ","9","1"
"CHAPULTEPEC","0000000001 0000000000 0000000000 ","9","1"
"FLORES","0000000002 0000000000 0000000000 ","9","1"
"INDEPENDENCIA","0000000002 0000000000 0000000000 ","9","1"
"INSURGENTES SUR","0000000002 0000000000 0000000000 ","9","1"
"MIGUEL HIDALGO","0000000001 0000000000 0000000000 ","9","1"
"NULL","0000000001 0000000000 0000000000 ","9","1"
"REFORMA","0000000002 0000000000 0000000000 ","9","1"
"REVOLUCION","0000000002 0000000000 0000000000 ","9","1"
"UNIVERSIDAD","0000000001 0000000000 0000000000 ","9","1"
"_qsN_MatchNombreCalle_MXADDR","0000000000 0000000000 0000000000 0000000002 0000000000 0000000000 0000000015 ","10","0"
"0.0e+000","0000000014 0000000000 0000000000 ","10","1"
"5","0000000001 0000000000 0000000000 ","10","1"
"_qsM_MatchNombreCalle_MXADDR","0000000000 0000000000 0000000000 0000000013 0000000000 0000000000 0000000019 ","12","0"
"5","0000000001 0000000000 0000000000 ","12","1"
"CHAPULTEPEC","0000000001 0000000000 0000000000 ","12","1"
"FLORES","0000000002 0000000000 0000000000 ","12","1"
"HIDALGO","0000000001 0000000000 0000000000 ","12","1"
"INDEPENDENCIA","0000000002 0000000000 0000000000 ","12","1"
"INSURGENTES","0000000002 0000000000 0000000000 ","12","1"
"MAYO","0000000001 0000000000 0000000000 ","12","1"
"MIGUEL","0000000001 0000000000 0000000000 ","12","1"
"NULL","0000000001 0000000000 0000000000 ","12","1"
"REFORMA","0000000002 0000000000 0000000000 ","12","1"
"REVOLUCION","0000000002 0000000000 0000000000 ","12","1"
"SUR","0000000002 0000000000 0000000000 ","12","1"
"UNIVERSIDAD","0000000001 0000000000 0000000000 ","12","1"
"_qsC_PHONE_STD","0000000000 0000000000 0000000000 0000000009 0000000000 0000000000 0000000015 ","13","0"
"2221112233","0000000002 0000000000 0000000000 ","13","1"
"2223334455","0000000001 0000000000 0000000000 ","13","1"
"3398765432","0000000002 0000000000 0000000000 ","13","1"
"4775556677","0000000002 0000000000 0000000000 ","13","1"
"5512345678","0000000002 0000000000 0000000000 ","13","1"
"5588990011","0000000001 0000000000 0000000000 ","13","1"
"6647778899","0000000002 0000000000 0000000000 ","13","1"
"8122334455","0000000001 0000000000 0000000000 ","13","1"
"NULL","0000000002 0000000000 0000000000 ","13","1"
"_qsN_PHONE_STD","0000000000 0000000000 0000000000 0000000009 0000000000 0000000000 0000000015 ","14","0"
"0.0e+000","0000000002 0000000000 0000000000 ","14","1"
"2221112233","0000000002 0000000000 0000000000 ","14","1"
"2223334455","0000000001 0000000000 0000000000 ","14","1"
"3398765432","0000000002 0000000000 0000000000 ","14","1"
"4775556677","0000000002 0000000000 0000000000 ","14","1"
"5512345678","0000000002 0000000000 0000000000 ","14","1"
"5588990011","0000000001 0000000000 0000000000 ","14","1"
"6647778899","0000000002 0000000000 0000000000 ","14","1"
"8122334455","0000000001 0000000000 0000000000 ","14","1"
"_qsM_PHONE_STD","0000000000 0000000000 0000000000 0000000009 0000000000 0000000000 0000000015 ","16","0"
"2221112233","0000000002 0000000000 0000000000 ","16","1"
"2223334455","0000000001 0000000000 0000000000 ","16","1"
"3398765432","0000000002 0000000000 0000000000 ","16","1"
"4775556677","0000000002 0000000000 0000000000 ","16","1"
"5512345678","0000000002 0000000000 0000000000 ","16","1"
"5588990011","0000000001 0000000000 0000000000 ","16","1"
"6647778899","0000000002 0000000000 0000000000 ","16","1"
"8122334455","0000000001 0000000000 0000000000 ","16","1"
"NULL","0000000002 0000000000 0000000000 ","16","1"
"_qsC_ZIP_STD","0000000000 0000000000 0000000000 0000000010 0000000000 0000000000 0000000015 ","17","0"
"00000003100","0000000002 0000000000 0000000000 ","17","1"
"00000006140","0000000001 0000000000 0000000000 ","17","1"
"00000006700","0000000001 0000000000 0000000000 ","17","1"
"00000022000","0000000002 0000000000 0000000000 ","17","1"
"00000037000","0000000002 0000000000 0000000000 ","17","1"
"00000044100","0000000002 0000000000 0000000000 ","17","1"
"00000050000","0000000001 0000000000 0000000000 ","17","1"
"00000064000","0000000001 0000000000 0000000000 ","17","1"
"00000072000","0000000002 0000000000 0000000000 ","17","1"
"00000072100","0000000001 0000000000 0000000000 ","17","1"
"_qsN_ZIP_STD","0000000000 0000000000 0000000000 0000000010 0000000000 0000000000 0000000015 ","18","0"
"22000","0000000002 0000000000 0000000000 ","18","1"
"3100","0000000002 0000000000 0000000000 ","18","1"
"37000","0000000002 0000000000 0000000000 ","18","1"
